"role_id","role_name","purpose","when_to_call","allowed_reads","allowed_writes","forbidden_actions","output_contract","verifier_required","may_spawn_workers","may_commit_locally","tim_required_for","notes"
"project_main_bot","Project Main Bot","Own one project's goal, state, routing, loop prevention, and worker assignment.","Whenever Tim starts or resumes a project lane.","TSF repo control docs; project registry; mission packets; project status; preservation packets; approved inbox evidence","TSF mission drafts; routing notes; project-main-bot status artifacts","push;merge;deploy;install;migration;secrets;PrivateLens;all-fleet;background runner;product repo mutation;canonical NWR;normal NWR packets;app/model/ranking/source-truth promotion","One bounded mission packet or TIM_REQUIRED packet with routing rationale.","true","true","true","Any restricted action, product direction ambiguity, cross-lane expansion, or remote/API action.","May spawn workers only by authoring bounded mission packets."
"translator_helper_bot","Translator Helper Bot","Convert Tim natural language into mission intent and convert technical results back into Tim-readable summary.","When a user request is fuzzy, broad, multi-part, or not yet structured.","Tim prompt; TSF control docs; quick mission; work-order inbox; project passports","Mission intent draft; questions register; summary note","treating user prose as approval; product mutation; command execution; push;merge;deploy;secrets","Mission intent with goal, allowed scope, excluded scope, stop conditions, and exact questions if needed.","true","false","false","Ambiguous product direction, missing authority, or unclear project identity.","Should ask Tim only when local evidence cannot resolve a true blocker."
"context_memory_steward","Context / Memory Steward","Maintain current project memory, freshness, handoff, and source trace.","Before mission authoring, after preservation, or when context is stale.","project passports; next-session cards; status freshness index; preservation packets; artifact index","Context capsule; freshness note; do-not-rebuild register","source-truth promotion; product repo mutation; normal NWR reads; credential access","Freshness-scored context bundle and exclusions.","true","false","true","Access to product/private repos, stale/conflicting source truth, or archived reactivation.","Should separate current truth from stale evidence."
"parallel_lane_coordinator","Parallel Lane Coordinator","Coordinate branch/worktree lane isolation and collision detection.","When more than one lane or worker could touch overlapping files.","git status; branch metadata; worktree boundary records; mission allowed writes","Lane split plan; collision matrix; branch/worktree recommendation","creating/deleting worktrees without approval; merge;push;rebase;all-fleet;background runner","Lane plan with ownership, collision result, stop signs, and merge recommendation.","true","true","true","Any actual worktree creation/deletion, merge, push, rebase, or conflicting scope.","No parallel runner is approved."
"organizer_worker","Organizer Worker","Organize files, packets, manifests, checklists, and status surfaces.","When evidence exists but is hard to navigate.","TSF docs; review packets; status files; artifact indexes","TSF-local docs, manifests, indexes, status summaries","product repo mutation; canonical NWR mutation; push;merge;deploy;secrets","Sorted index, manifest, or checklist with source trace.","true","false","true","Deleting, moving, or overwriting user/canonical work.","Can commit locally if TSF-local docs only and validation passes."
"builder_worker","Builder Worker","Implement bounded TSF-local infrastructure or docs/control-plane changes.","When a mission has exact allowed writes and validation.","Allowed mission reads only","Allowed mission writes only","outside allowed writes; product repo mutation; push;merge;deploy;install;migration;secrets;background runner","Changed files plus validation evidence and preservation handoff.","true","false","true","Any scope expansion or restricted action.","Must operate through kernel mission packet."
"ui_builder_worker","UI Builder Worker","Build or adapt TSF UI/prototype surfaces when explicitly scoped.","When the mission is UI/prototype only and no runtime binding is approved.","TSF UI docs/prototypes; allowed assets","Allowed UI/prototype files","runtime command binding; network ports; product mutation; auth; deploy;push;merge","Static UI artifact or prototype review packet with no command authority.","true","false","true","Real Operator Console wiring, command execution, remote auth, deploy, or product repo access.","Current lane is architecture only."
"ai_builder_worker","AI Builder Worker","Design or implement AI prompt/adapter/schema components inside TSF scope.","When a bounded mission needs AI routing, prompts, or HQ packet structure.","TSF prompt docs; HQ adapter docs; schemas","Prompt docs; packet schemas; fixture examples","API calls; credential creation; model/source-truth promotion; production ranking behavior","Prompt/schema artifact with non-authority and validation notes.","true","false","true","API usage, credentials, model behavior changes, production use.","Do not call ChatGPT/API HQ unless separately approved."
"stats_data_worker","Stats/Data Worker","Create review-only data audits, missingness tables, and validation summaries.","When a mission is data/source trace or formula review-only.","Approved review-only data; TSF/NWR approved packets if scoped","Review-only reports, CSVs, validation artifacts","production rankings; formula promotion; source truth promotion; canonical NWR mutation; normal NWR packet reads without approval","Review-only dataset/report with source trace, missingness, caveats, and blocked uses.","true","false","true","Source promotion, production/model use, canonical/normal NWR expansion.","Must keep review-only labels explicit."
"tester_worker","Tester Worker","Run or create bounded tests and validation harness checks.","When a mission has safe local test scope.","Allowed test files; fixtures; changed files","Allowed tests/fixtures/reports","all-fleet;proof runs;install;migration;product tests without approval;background runner","Test result report with commands, pass/fail, and failures.","true","false","true","Proof runs, installs, product repo tests, broad fleet tests.","May add TSF-local tests when scoped."
