"decision_type","main_bot_can_decide","worker_can_decide","requires_verifier","requires_chatgpt_hq","requires_tim","reason","notes"
"Choose worker role for TSF-local mission","true","false","true","false","false","Routine routing can be decided from mission intent and role registry.","Worker receives bounded packet only."
"Run Phase 0 existing-asset trace","true","true","true","false","false","Trace is required before build work and stays TSF-local when scoped.","Cross-lane reads still need approval."
"Reuse existing TSF component","true","true","true","false","false","Reuse is safer than duplicate build when evidence supports it.","Record evidence path."
"Create TSF-local docs/control-plane artifact","true","true","true","false","false","Allowed by autonomy envelope when no restricted gate is crossed.","Commit locally only after validation and exact staging."
"Create role registry or permission matrix","true","true","true","false","false","Architecture docs/registries are TSF-local control-plane work.","Do not imply runtime authority."
"Run safe JSON/CSV/Markdown validation","true","true","false","false","false","Scoped local validation is routine.","No installs or product repo tests."
"Run existing kernel tests after touching kernel files","true","true","false","false","false","Required validation for kernel changes when touched.","No all-fleet/proof."
"Assign multiple workers in parallel","true","false","true","false","true","Planning can be local, but actual parallel execution or worktree creation needs approval.","No runner in this lane."
"Create or delete worktree","false","false","true","false","true","Worktree mutation affects git state and lane isolation.","Prepare approval packet only."
"Invoke Codex CLI worker execution","false","false","true","false","true","Direct worker execution is a hard-gated adapter action.","This lane does not invoke Codex CLI."
"Start background or persistent runner","false","false","true","false","true","Hard gate and explicitly out of scope.","Do not implement."
"Read product repo","false","false","true","false","true","Product repo inspection requires exact approval unless already scoped.","No product repo touched."
"Mutate product repo","false","false","true","false","true","Product repo mutation is restricted.","Never infer from docs."
"Inspect canonical NWR","false","false","true","false","true","Canonical NWR is protected.","No canonical NWR access."
"Read normal NWR packets","false","false","true","false","true","Normal NWR is separate from TSF-NWR unless explicitly scoped.","No normal NWR packet reads."
"Promote model ranking formula or source truth","false","false","true","true","true","High-risk source-truth and app behavior change.","Use HQ only as decision evidence; Tim approves authority."
"Decide ambiguous YELLOW strategic path","true","false","true","true","false","HQ can help when local evidence is ambiguous but no Tim gate exists.","Use compact HQ packet, no API unless approved."
"Resolve conflicting worker reports","true","false","true","true","false","Main Bot owns reconciliation; HQ may judge major conflicts.","Tim only if authority/product direction is needed."
"Push or merge","false","false","true","false","true","Publication requires exact Tim approval.","No push or merge in this lane."
"Deploy install migrate secrets PrivateLens proof all-fleet","false","false","true","false","true","Hard restricted action classes.","Stop and produce exact approval text."
