"path","component_name","component_type","matched_terms","current_classification","evidence_summary","directly_usable","adaptation_needed","duplicate_or_stale_risk","notes"
"docs/hq/enforcement_kernel/minimum_viable_local_tsf_enforcement_kernel_v1/mission_schema_v1.json","Mission Packet Schema V1","schema","mission;lane;worker;approval;hq_escalation","DIRECTLY_USABLE","Machine-readable mission packet already defines project, repo, lane, allowed and forbidden scope, expected artifacts, preflight, postrun, approvals, and HQ escalation policy.","true","Add optional main_bot_owner, worker_role_id, parent_mission_id, and conversation_goal fields in a later bounded schema lane.","low","This should be reused as the base packet, not replaced."
"tools/codex-fleet-enforcement-kernel.ps1","TSF Enforcement Kernel","script","preflight;approval ledger;worker;verifier;preservation;mission","DIRECTLY_USABLE","Foreground PowerShell kernel implements mission shape checks, path scope, approval matching, mission state folders, worker instruction creation, post-run verification, and preservation packets.","true","Expose role-aware checks through the existing mission fields instead of building a second validator.","low","This is the enforcement spine for Project Main Bot work."
"tools/Invoke-TsfMissionLifecycle.ps1","Foreground Mission Lifecycle Runner","script","mission lifecycle;worker;preflight;postrun;preservation","DIRECTLY_USABLE","Runs one mission through schema validation, preflight, approval check, worker instruction or fixture-only worker step, verifier, preservation, and final decision.","true","Keep foreground-only; add role routing as input metadata later.","low","No persistent runner should be built from this lane."
"tools/New-TsfMissionPacket.ps1","Mission Authoring Helper","script","mission;authoring;packet;lane","DIRECTLY_USABLE","Authors structured mission packets from parameters without executing missions.","true","Add role template presets after role registry is reviewed.","low","Use as Translator Helper output path."
"docs/hq/enforcement_kernel/overnight_hardening_batch_v2/hq_escalation/hq_escalation_packet_schema_v1.json","HQ Escalation Packet Schema","schema","ChatGPT HQ;API HQ;escalation;decision","USABLE_WITH_ADAPTATION","Defines future HQ choke-point packet shape without implementing API access.","true","Bind Project Main Bot escalations to this schema for major strategic decisions only.","low","No API call is approved by this artifact."
"docs/fleet/TSF_HQ_ADAPTER_MODE.md","TSF HQ Adapter Mode","policy_doc","ChatGPT HQ;strategic judge;work order;translator","USABLE_WITH_ADAPTATION","Defines ChatGPT HQ as strategy evidence for finish lines, next builder, unblock artifact, exclusions, and batch plan; not execution authority.","true","Convert this into the Project Main Bot strategic escalation rulebook.","low","Good policy base for ChatGPT/API HQ Escalation Judge."
"docs/fleet/TSF_AUTONOMY_ENVELOPE_V1.md","TSF Autonomy Envelope","policy_doc","autonomy;safe TSF-local;Tim gates;local commits","DOC_ONLY","Defines safe autonomous TSF-local behavior and hard Tim gates.","true","Reference in role permission profiles and decision matrix.","low","Evidence-only but authoritative for TSF-local behavior."
"docs/fleet/TSF_SAFE_STOP_ESCALATION_MATRIX_V1.md","Safe Stop Escalation Matrix","policy_doc","stop conditions;escalation;local commit;Tim approval","DOC_ONLY","Defines continue, local commit, stop, Tim approval, unsafe block, and close phase states.","true","Use as Project Main Bot stop-state authority.","low","No rebuild needed."
"docs/fleet/TSF_BLOCKER_RECOVERY_LOOP_V1.md","Blocker Recovery Loop","policy_doc","blocker recovery;preservation;handoff;loop prevention","DOC_ONLY","Defines one bounded recovery pass before producing blocker-only packets and lists hard authority stops.","true","Use for loop prevention and repeated blocker handling.","low","Directly maps to Project Main Bot loop prevention."
"docs/fleet/TSF_CONTROL_PLANE_OVERVIEW_V1.md","Control Plane Overview","policy_doc","Master Codex;control layer;draft queue;HQ adapter","DOC_ONLY","Summarizes TSF as local coding/product control plane and separates evidence from authority.","true","Use as orientation for Project Main Bot responsibilities.","low","Good source for the main bot charter."
