"field","value"
"approved_command_shape","codex exec -c service_tier=null --sandbox workspace-write --ephemeral --cd <TSF repo> --output-last-message <scratch> --json -"
"actual_command_redacted","codex exec -c service_tier=null --sandbox workspace-write --ephemeral --cd <TSF repo> --output-last-message <scratch> --json -"
"stdin_prompt_used","yes"
"attempt_count","1"
"ignore_user_config_used","no"
"workspace_write_used","yes"
"service_tier_null_used","yes"
"danger_full_access_used","no"
"exit_code","1"
"timed_out","false"
"last_message_file_created","no"
"event_log_result","Error loading config.toml: unknown variant null, expected fast or flex in service_tier"
"worker_status","TIM_REQUIRED_CODEX_CLI_AUTH_OR_EXECUTION_APPROVAL"
"api_called","no"
"background_runner_started","no"
