"file_path","change_type","category","purpose","authority_note"
"tools/codex-fleet-enforcement-kernel.ps1","added","kernel_module","Shared dependency-free PowerShell functions for mission preflight, approval matching, worker handoff, post-run verification, state copying, and preservation packets.","TSF-local foreground infrastructure only; grants no restricted authority."
"tsf-kernel-preflight.ps1","added","foreground_command","Validates one mission packet and writes a preflight result.","Does not start a worker, runner, all-fleet command, server, or product repo action."
"tsf-kernel-worker-adapter.ps1","added","foreground_command","Creates a bounded worker instruction packet only after approved preflight.","V1 is a stub and records STUB_READY_CODEX_CLI_BLOCKED; no Codex CLI invocation."
"tsf-kernel-postrun-verify.ps1","added","foreground_command","Verifies one worker result against one mission packet and fails closed on missing artifacts or restricted action evidence.","Does not run product validation or proof runs."
"tsf-kernel-preserve.ps1","added","foreground_command","Writes a preservation packet from mission, preflight, worker, and verifier evidence.","Preserves evidence only; does not approve future work."
"fleet/control/approval-ledger.local.example.json","added","approval_ledger_example","Documents the local ledger shape with zero active approvals.","Example only; grants no authority."
"fleet/missions/drafted/.gitkeep","added","mission_state_folder","Standardizes drafted mission state folder.","Filesystem state only; no runner."
"fleet/missions/preflight-pending/.gitkeep","added","mission_state_folder","Standardizes preflight-pending mission state folder.","Filesystem state only; no runner."
"fleet/missions/approved-for-worker/.gitkeep","added","mission_state_folder","Standardizes approved-for-worker mission state folder.","Filesystem state only; no runner."
"fleet/missions/running/.gitkeep","added","mission_state_folder","Standardizes running mission state folder for foreground handoff evidence.","Filesystem state only; no background runner."
"fleet/missions/postrun-pending/.gitkeep","added","mission_state_folder","Standardizes postrun-pending mission state folder.","Filesystem state only; no runner."
"fleet/missions/completed/.gitkeep","added","mission_state_folder","Standardizes completed mission state folder.","Filesystem state only; no runner."
"fleet/missions/blocked-tim-required/.gitkeep","added","mission_state_folder","Standardizes blocked/TIM_REQUIRED mission state folder.","Filesystem state only; no runner."
"fleet/missions/archived/.gitkeep","added","mission_state_folder","Standardizes archived mission state folder.","Filesystem state only; no runner."
"docs/hq/enforcement_kernel/minimum_viable_local_tsf_enforcement_kernel_v1/mission_schema_v1.json","added","schema","Machine-readable V1 mission packet schema.","Schema is a contract; not approval."
"docs/hq/enforcement_kernel/minimum_viable_local_tsf_enforcement_kernel_v1/approval_ledger_schema_v1.json","added","schema","Machine-readable V1 approval ledger schema.","Schema is a contract; ledger entries must still be exact Tim approvals."
"docs/hq/enforcement_kernel/minimum_viable_local_tsf_enforcement_kernel_v1/MISSION_SCHEMA_V1.md","added","review_doc","Human-readable mission schema explanation.","Evidence and operating documentation."
"docs/hq/enforcement_kernel/minimum_viable_local_tsf_enforcement_kernel_v1/MISSION_STATE_MODEL_V1.md","added","review_doc","Human-readable filesystem mission state model.","Evidence and operating documentation."
"docs/hq/enforcement_kernel/minimum_viable_local_tsf_enforcement_kernel_v1/PREFLIGHT_VALIDATOR_V1.md","added","review_doc","Preflight validator usage and fail-closed behavior.","Evidence and operating documentation."
"docs/hq/enforcement_kernel/minimum_viable_local_tsf_enforcement_kernel_v1/POSTRUN_VERIFIER_V1.md","added","review_doc","Post-run verifier usage and fail-closed behavior.","Evidence and operating documentation."
"docs/hq/enforcement_kernel/minimum_viable_local_tsf_enforcement_kernel_v1/CODEX_WORKER_ADAPTER_V1.md","added","review_doc","Foreground worker adapter stub behavior.","Evidence and operating documentation."
"docs/hq/enforcement_kernel/minimum_viable_local_tsf_enforcement_kernel_v1/PRESERVATION_PACKET_V1.md","added","review_doc","Preservation packet writer behavior.","Evidence and operating documentation."
"docs/hq/enforcement_kernel/minimum_viable_local_tsf_enforcement_kernel_v1/minimum_viable_kernel_file_manifest.csv","added","review_packet","Manifest of V1 files.","Evidence only."
"docs/hq/enforcement_kernel/minimum_viable_local_tsf_enforcement_kernel_v1/minimum_viable_kernel_validation.json","added","review_packet","Validation result summary for V1 implementation.","Evidence only."
"docs/hq/enforcement_kernel/minimum_viable_local_tsf_enforcement_kernel_v1/MINIMUM_VIABLE_LOCAL_TSF_ENFORCEMENT_KERNEL_V1_REPORT.md","added","review_packet","Human-readable implementation report.","Evidence only."
"tests/fixtures/fleet/enforcement-kernel/mission.valid.local-tsf.json","added","test_fixture","Valid TSF-local mission fixture with no restricted approval requirement.","Fixture only; not authority."
"tests/fixtures/fleet/enforcement-kernel/mission.restricted-missing-approval.json","added","test_fixture","Mission fixture that requires product_repo_mutation approval and must block without ledger match.","Fixture only; no product repo mutation."
"tests/fixtures/fleet/enforcement-kernel/mission.invalid-missing-artifacts.json","added","test_fixture","Invalid mission fixture for fail-closed schema behavior.","Fixture only."
"tests/fixtures/fleet/enforcement-kernel/approval-ledger.fixture.sample.json","added","test_fixture","Sample approval ledger recognized only in test fixture mode.","Fixture only; not real authority."
"tests/fixtures/fleet/enforcement-kernel/worker-result.valid.json","added","test_fixture","Worker result fixture for successful verifier path.","Fixture only."
"tests/fixtures/fleet/enforcement-kernel/worker-result.missing-artifact.json","added","test_fixture","Worker result fixture for missing-artifact verifier failure.","Fixture only."
"tests/run-minimum-viable-kernel-tests.ps1","added","test_runner","Scoped tests for mission preflight, approval matching, adapter refusal/stub, verifier, and preservation writer.","Runs only local fixture repos under .codex-local."
