"stop_condition","hit","status","notes"
"branch containment unclear","false","PASS","Branch was created from expected origin/main."
"worker budget exceeded","false","PASS","One worker invocation used out of a maximum of two."
"Codex CLI auth/credential/sandbox issue","false","PASS","Foreground worker exited 0 using service_tier=fast and workspace-write."
"missing approval","false","PASS","Lane-local approval ledger matched exact fixture action and path."
"role permission violation","false","PASS","Builder Worker role preflight approved."
"missing artifact","false","PASS","Expected builder fixture artifact exists."
"verifier RED","false","PASS","Verifier returned GREEN."
"repeated blocker loop","false","PASS","Loop prevention returned PASS_NO_LOOP."
"push/merge/deploy requested","false","PASS","No push, merge, or deploy occurred."
"product repo or canonical NWR mutation","false","PASS","No product repo or canonical NWR mutation occurred."
"API/background/all-fleet requested","false","PASS","No API, background runner, or all-fleet action occurred."
