"field","value"
"approved_command_shape","codex exec -c service_tier=fast --sandbox workspace-write --ephemeral --cd <TSF repo> --output-last-message <scratch> --json -"
"actual_command_redacted","codex exec -c service_tier=fast --sandbox workspace-write --ephemeral --cd <TSF repo> --output-last-message <scratch> --json -"
"stdin_prompt_used","yes"
"attempt_count","1"
"service_tier_fast_used","yes"
"ignore_user_config_used","no"
"workspace_write_used","yes"
"danger_full_access_used","no"
"exit_code","0"
"timed_out","false"
"last_message_file_created","yes"
"worker_status","CODEX_CLI_FIXTURE_WORKER_GREEN"
"verifier_verdict","GREEN"
"api_called","no"
"background_runner_started","no"
