"stop_condition","status","evidence","action"
"branch_or_head_mismatch","not_hit","Branch and starting HEAD matched before execution.","continued"
"dirty_worktree_before_worker","not_hit","Git status was clean before worker attempt.","continued"
"preflight_failed","not_hit","Kernel preflight returned GREEN.","continued"
"role_preflight_failed","not_hit","Role-aware preflight returned GREEN.","continued"
"missing_exact_approval","not_hit","Approval ledger returned MATCHED_ACTIVE_APPROVAL for the exact action.","continued"
"codex_auth_or_execution_approval_needed","not_hit","Codex CLI exited 0 and did not request auth, credentials, danger-full-access, or broad permissions.","continued"
"expected_artifact_missing","not_hit","Expected fixture artifact was created.","continued"
"artifact_content_mismatch","not_hit","Artifact content matched exactly.","continued"
"forbidden_path_touched","not_hit","Only the expected fixture artifact path was touched.","continued"
"danger_full_access_requested_or_used","not_hit","danger-full-access was not used or requested.","continued"
"ignore_user_config_used","not_hit","--ignore-user-config was not used.","continued"
"api_or_background_or_all_fleet","not_hit","No API, background runner, persistent runner, all-fleet, deploy, install, or migration occurred.","continued"
