"file_path","artifact_type","phase","purpose","status"
"tools/Invoke-TsfMissionLifecycle.ps1","script","phase_1_4","Foreground mission lifecycle runner and Codex worker adapter pilot path","modified"
"tools/codex-fleet-enforcement-kernel.ps1","script","phase_1_5","Preflight and post-run enforcement hardening used by lifecycle runner","committed_part_1"
"docs/hq/enforcement_kernel/minimum_viable_local_tsf_enforcement_kernel_v1/mission_schema_v1.json","schema","phase_1","Mission schema including optional required_branch support","committed_part_1"
"tests/run-minimum-viable-kernel-tests.ps1","test","validation","Existing kernel regression suite with verifier hardening coverage","committed_part_1"
"tests/run-tsf-kernel-v2-tests.ps1","test","phase_6_validation","V2 lifecycle and failure-mode regression suite","committed_part_1"
"tests/fixtures/fleet/enforcement-kernel/failure-modes/failure-mode-regression-fixtures.json","fixture","phase_6","Fail-closed regression mission fixtures","committed_part_1"
"tests/fixtures/fleet/enforcement-kernel/worker-result.outside-allowed-write.json","fixture","phase_5","Verifier rejection fixture for output outside allowed write scope","committed_part_1"
"docs/hq/enforcement_kernel/overnight_hardening_batch_v2/fixture_pilot/mission.codex-fixture-worker-pilot.json","mission_packet","phase_2","Exact fixture-only foreground worker pilot mission","committed_part_1"
"docs/hq/enforcement_kernel/overnight_hardening_batch_v2/fixture_pilot/approval-ledger.codex-fixture-pilot.json","approval_ledger","phase_3","Narrow expiring approval for one fixture-only Codex CLI invocation","committed_part_1"
"docs/hq/enforcement_kernel/overnight_hardening_batch_v2/hq_escalation/hq_escalation_packet_schema_v1.json","schema","phase_7","Future HQ escalation packet schema without API implementation","committed_part_1"
"docs/hq/enforcement_kernel/overnight_hardening_batch_v2/hq_escalation/sample_hq_escalation_packet.json","sample","phase_7","Sample HQ escalation packet fixture","committed_part_1"
"docs/hq/enforcement_kernel/overnight_hardening_batch_v2/hq_escalation/HQ_ESCALATION_PACKET_V1.md","doc","phase_7","HQ escalation packet contract documentation","committed_part_1"
"docs/hq/enforcement_kernel/overnight_hardening_batch_v2/worker_adapter_pilot/worker_instruction_packet_fixture.md","report","phase_4","Human-readable fixture worker instruction packet and command preview","created"
"docs/hq/enforcement_kernel/overnight_hardening_batch_v2/worker_adapter_pilot/codex_worker_events.jsonl","evidence","phase_4","Captured Codex CLI foreground pilot command and config failure evidence","created"
"docs/hq/enforcement_kernel/overnight_hardening_batch_v2/e2e_lifecycle/preflight_result.json","evidence","phase_5","Preflight result for fixture mission lifecycle","created"
"docs/hq/enforcement_kernel/overnight_hardening_batch_v2/e2e_lifecycle/worker_result.json","evidence","phase_4_5","Worker adapter result for fixture mission lifecycle","created"
"docs/hq/enforcement_kernel/overnight_hardening_batch_v2/e2e_lifecycle/verifier_result.json","evidence","phase_5","Post-run verifier result for fixture mission lifecycle","created"
"docs/hq/enforcement_kernel/overnight_hardening_batch_v2/e2e_lifecycle/lifecycle_result.json","evidence","phase_5","End-to-end lifecycle result for fixture mission","created"
"docs/hq/enforcement_kernel/overnight_hardening_batch_v2/codex_adapter_invocation_log.csv","report","phase_4","Single-invocation Codex adapter pilot log","created"
"docs/hq/enforcement_kernel/overnight_hardening_batch_v2/mission_lifecycle_state_transition_matrix.csv","report","phase_1_5","Lifecycle state transition evidence matrix","created"
"docs/hq/enforcement_kernel/overnight_hardening_batch_v2/failure_mode_regression_matrix.csv","report","phase_6","Fail-closed regression case matrix","created"
"docs/hq/enforcement_kernel/overnight_hardening_batch_v2/overnight_batch_v2_stop_conditions.csv","report","phase_8","Stop-condition audit for V2 run","created"
"docs/hq/enforcement_kernel/overnight_hardening_batch_v2/overnight_batch_v2_commit_log.csv","report","phase_8","Local commit log for V2 run","created"
"docs/hq/enforcement_kernel/overnight_hardening_batch_v2/overnight_batch_v2_validation.json","decision","phase_8","Machine-readable V2 validation decision","created"
"docs/hq/enforcement_kernel/overnight_hardening_batch_v2/OVERNIGHT_BATCH_V2_EXECUTION_SUMMARY.md","report","phase_8","Human-readable V2 execution summary","created"
"docs/hq/enforcement_kernel/overnight_hardening_batch_v2/TSF_RUNTIME_NEXT_STEPS_AFTER_BATCH_V2.md","roadmap","phase_8","Post-V2 runtime next-step classification","created"
"docs/hq/enforcement_kernel/overnight_hardening_batch_v2/overnight_batch_v2_file_manifest.csv","manifest","phase_8","Inventory of V2 files and evidence","created"
