"stop_condition","hit","result","notes"
"branch_or_head_containment_failed","false","not_hit","Starting branch and HEAD matched."
"unexpected_dirty_files","false","not_hit","Initial worktree was clean."
"codex_cli_auth_or_execution_approval","True","blocked_retry","codex exec failed loading config.toml service_tier default; no retry attempted."
"worker_touched_outside_fixture_path","false","not_hit","Codex CLI touched no files."
"expected_artifact_missing","true","verifier_red","Expected fixture artifact was not created because CLI failed before worker execution."
"background_runner_required","false","not_hit","No background/persistent runner started."
"all_fleet_required","false","not_hit","No all-fleet command run."
"product_repo_mutation_required","false","not_hit","No product repo touched."
"canonical_nwr_mutation_required","false","not_hit","No canonical NWR access or mutation."
"push_merge_deploy_install_migration_secrets_privatelens_required","false","not_hit","None performed."
