"order","commit","date","subject","readiness_note"
"1","a90604078d29d156a0ada56a6e23d1aa1f21166c","2026-07-09T12:58:51-06:00","feat: add TSF pack-and-go deployment foundations","Adds local TSF deployment foundations and review packet."
"2","64d0351237759ab210d123750f3d31401fa413c6","2026-07-09T13:10:43-06:00","test: validate TSF Codex CLI priority fixture worker gate","Records priority service-tier gate evidence."
"3","76f4c8eba61af0a1aa6fb37a40d290c2a75f0e20","2026-07-09T13:17:06-06:00","test: validate TSF Codex CLI flex fixture worker execution","Records flex fixture execution evidence and fail-closed result."
"4","cf3abfd15d13454fdf6967cbdb5772f538ff118e","2026-07-09T13:25:53-06:00","docs: diagnose Codex CLI plugin manifest warning","Diagnoses plugin manifest warning."
"5","8203e0bac444b559cf98669f81b10ff403c0a39c","2026-07-09T13:30:15-06:00","docs: record Codex CLI plugin manifest narrow fix","Records narrow plugin manifest fix evidence."
"6","2765136d41ceec19c764d145c7c5e340424b66b0","2026-07-09T13:44:27-06:00","docs: preserve failed Codex CLI fixture retry evidence","Preserves failed retry packet."
"7","dd1ee2f1a6fcc96b101dbcdffde61a14cd150fda","2026-07-09T13:52:05-06:00","docs: diagnose Codex CLI service-tier runtime config","Diagnoses service-tier runtime strategy."
"8","a86b2426e3504ef8dd18f512f3516e6336b4c39a","2026-07-09T14:35:44-06:00","test: validate TSF Codex CLI ignore-user-config fixture worker","Records ignore-user-config worker evidence and fail-closed result."
"9","ee662687d8f71288fd495255d46a7e4d06c66cf1","2026-07-09T14:45:15-06:00","test: validate TSF Codex CLI workspace-write fixture worker","Records workspace-write worker evidence and fail-closed result."
"10","69977287d0cd1fd9df01158f802a8099f9c76211","2026-07-09T14:55:02-06:00","docs: diagnose Codex CLI effective workspace-write behavior","Diagnoses effective workspace-write behavior."
"11","9971ccbd321601f7bbefad80d73dc490f2106df8","2026-07-09T17:21:20-06:00","test: validate TSF Codex CLI normal-config workspace-write fixture worker","Records normal-config null override failure and fail-closed result."
"12","641e9941ee3c6cc7ae67afe7c342faddaf941d01","2026-07-09T17:26:49-06:00","docs: determine Codex CLI service-tier strategy","Determines fast override strategy."
"13","e7e48daf696e6107930274884bbb304abc70b474","2026-07-09T17:35:25-06:00","test: validate TSF Codex CLI fast workspace-write fixture worker","Records first GREEN TSF-governed real Codex worker execution."
