"classification","component","decision"
"ADAPT","mission_schema_v1.json","Use existing mission packet unchanged and attach role extension as compatible wrapper."
"DIRECT_REUSE","tools/codex-fleet-enforcement-kernel.ps1","Keep preflight/verifier/preservation as enforcement spine."
"DIRECT_REUSE","tools/Invoke-TsfMissionLifecycle.ps1","Keep foreground lifecycle runner; do not add persistent runner."
"ADAPT","tools/New-TsfMissionPacket.ps1","Reuse packet shape; add Project Main Bot draft adapter."
"ADAPT","HQ escalation schema","Reuse for role-aware examples; do not call API."
"ADAPT","project-management helper","Reuse project/queue guidance as state context."
"ADAPT","lane resolver","Reuse as worker routing hint."
"REFERENCE_ONLY","worktree boundary contract","Use for dry-run lane collision checks only."
"DO_NOT_USE","Operator Console","Do not implement UI in this batch."
"DO_NOT_USE","Codex CLI worker adapter","Codex CLI invocation is explicitly out of scope."
