"stop_condition","status","notes"
"branch_or_head_mismatch","not_hit","Branch and starting HEAD matched the requested gate."
"unexpected_dirty_worktree","not_hit","Worktree was clean before packet creation."
"remote_divergence","not_hit","Remote branch HEAD is ancestor of local branch."
"validation_failure","not_hit","Scoped validations passed before packet creation."
"force_push_required","not_hit","Normal fast-forward push expected."
"main_push_or_merge_required","not_hit","Only target branch push is in scope."
"unrelated_files_in_publication","not_hit","Changes are TSF control-plane/kernel/docs/tests/fixtures/tools only."
"deploy_install_migration_secrets_privatelens_all_fleet_required","not_hit","None required or performed."
"background_runner_required","not_hit","No background runner required or performed."
"codex_cli_worker_execution_required","not_hit","No Codex CLI worker execution required or performed."
"api_or_hq_transport_required","not_hit","No API calls required or performed."
"product_repo_mutation_required","not_hit","No product repo mutation required or performed."
"canonical_nwr_mutation_required","not_hit","No canonical NWR mutation required or performed."
"pr_creation_requires_api_or_unclear_auth","not_hit_for_push","No PR creation attempted in this gate."
