path,source_classification,plugin_name,parse_status,default_prompt_count,issue,fix_candidate
"C:\Users\codex-agent\.codex\plugins\cache\openai-primary-runtime\template-creator\26.630.12135\.codex-plugin\plugin.json",Codex-local,template-creator,PASS,4,defaultPrompt_count_exceeds_cli_max_3,"Backup manifest and reduce interface.defaultPrompt to 3 entries with Tim approval"
"C:\Users\codex-agent\.codex\plugins\cache\openai-bundled\browser\26.623.141536\.codex-plugin\plugin.json",Codex-local,browser,PASS,1,none,"none"
"C:\Users\codex-agent\.codex\plugins\cache\openai-curated\alpaca\2f1a8948\.codex-plugin\plugin.json",Codex-local,alpaca,PASS,1,none,"none"
"C:\Users\codex-agent\.codex\plugins\cache\openai-curated\figma\2f1a8948\.codex-plugin\plugin.json",Codex-local,figma,PASS,3,none,"none"
"C:\Users\codex-agent\.codex\plugins\cache\openai-curated\github\2f1a8948\.codex-plugin\plugin.json",Codex-local,github,PASS,1,none,"none"
"C:\Users\codex-agent\.codex\plugins\cache\openai-curated\gmail\2f1a8948\.codex-plugin\plugin.json",Codex-local,gmail,PASS,1,none,"none"
"C:\Users\codex-agent\.codex\plugins\cache\openai-curated\google-drive\2f1a8948\.codex-plugin\plugin.json",Codex-local,google-drive,PASS,1,none,"none"
"C:\Users\codex-agent\.codex\plugins\cache\openai-curated-remote\alpaca\1.0.0\.codex-plugin\plugin.json",Codex-local,alpaca,PASS,1,none,"none"
"C:\Users\codex-agent\.codex\plugins\cache\openai-curated-remote\app-68d579f7b0948191a7da3124a3b560f7\6.0.0\.codex-plugin\plugin.json",Codex-local,app-68d579f7b0948191a7da3124a3b560f7,PASS,3,none,"none"
"C:\Users\codex-agent\.codex\plugins\cache\openai-curated-remote\app-68de829bf7648191acd70a907364c67c\4.0.0\.codex-plugin\plugin.json",Codex-local,app-68de829bf7648191acd70a907364c67c,PASS,3,none,"none"
"C:\Users\codex-agent\.codex\plugins\cache\openai-curated-remote\app-69949aa62bf48191be5e57a01202beca\1.0.0\.codex-plugin\plugin.json",Codex-local,app-69949aa62bf48191be5e57a01202beca,PASS,3,none,"none"
"C:\Users\codex-agent\.codex\plugins\cache\openai-curated-remote\figma\2.0.14\.codex-plugin\plugin.json",Codex-local,figma,PASS,3,none,"none"
"C:\Users\codex-agent\.codex\plugins\cache\openai-curated-remote\gmail\0.1.5\.codex-plugin\plugin.json",Codex-local,gmail,PASS,1,none,"none"
"C:\Users\codex-agent\.codex\plugins\cache\openai-curated-remote\google-drive\0.1.8\.codex-plugin\plugin.json",Codex-local,google-drive,PASS,1,none,"none"
"C:\Users\codex-agent\.codex\plugins\cache\openai-curated-remote\openai-templates\0.1.0\.codex-plugin\plugin.json",Codex-local,openai-templates,PASS,3,none,"none"
"C:\Users\codex-agent\.codex\plugins\cache\openai-primary-runtime\documents\26.630.12135\.codex-plugin\plugin.json",Codex-local,documents,PASS,3,none,"none"
"C:\Users\codex-agent\.codex\plugins\cache\openai-primary-runtime\pdf\26.630.12135\.codex-plugin\plugin.json",Codex-local,pdf,PASS,3,none,"none"
"C:\Users\codex-agent\.codex\plugins\cache\openai-primary-runtime\presentations\26.630.12135\.codex-plugin\plugin.json",Codex-local,presentations,PASS,3,none,"none"
"C:\Users\codex-agent\.codex\plugins\cache\openai-primary-runtime\spreadsheets\26.630.12135\.codex-plugin\plugin.json",Codex-local,spreadsheets,PASS,3,none,"none"
