"stop_condition","hit","result","notes"
"branch_or_head_mismatch","false","not_hit","Branch and starting HEAD matched the requested containment values."
"unexpected_dirty_files","false","not_hit","Initial dirty state contained only expected V1 kernel files and no tracked dirty files."
"validation_failure_unresolved","false","not_hit","Scoped failures were diagnosed and repaired; final scoped tests passed."
"background_or_persistent_runner_required","false","not_hit","No runner, daemon, watchdog, scheduler, or continuous process was started."
"all_fleet_required","false","not_hit","No all-fleet command was run."
"product_repo_mutation_required","false","not_hit","All fixture work stayed inside TSF repo or .codex-local fixture repos."
"canonical_nwr_mutation_required","false","not_hit","Canonical NWR was neither inspected nor mutated."
"normal_nwr_packet_read_required","false","not_hit","No normal NWR packets were read."
"push_merge_deploy_install_migration_secrets_privatelens_required","false","not_hit","None of these restricted actions occurred."
"codex_cli_auth_or_execution_uncertain","true","handled_as_caveat","Codex CLI was detected with version-only check, but codex exec was not invoked."
"kernel_cannot_fail_closed","false","not_hit","Missing approval, malformed mission, missing artifact, and missing artifact claim fail closed."
"scope_drift_to_ui_api_app_server","false","not_hit","Roadmap explicitly defers UI/API/app-server decisions."
