"role_id","role_name","purpose","when_to_call","allowed_reads","allowed_writes","forbidden_actions","output_contract","verifier_required","may_spawn_workers","may_commit_locally","may_invoke_codex_cli","may_use_api","may_touch_product_repo","tim_required_for","escalation_triggers"
"project_main_bot","Project Main Bot","Own one project's goal, state, routing, loop prevention, and worker assignment.","Whenever Tim starts or resumes a project lane.","TSF repo control docs; project registry; mission packets; project status; preservation packets; approved inbox evidence","TSF mission drafts; routing notes; project-main-bot status artifacts","all_fleet; all-fleet; api_bridge; app/model/ranking/source-truth promotion; app_wiring; background runner; background_runner; canonical NWR; canonical_nwr_inspection; canonical_nwr_mutation; credential_change; deploy; hidden_sort; install; install_packages; merge; migration; normal NWR packets; normal_nwr_packet_read; open_network_port; persistent_runner; PrivateLens; product repo mutation; product_repo_inspection; product_repo_mutation; proof_run; push; ranking_formula_source_truth_promotion; recommendation_behavior; secrets","One bounded mission packet or TIM_REQUIRED packet with routing rationale.","True","True","True","False","False","False","Any restricted action, product direction ambiguity, cross-lane expansion, or remote/API action.","approval_gap; scope_conflict; unsafe_request; validation_failure; repeated_blocker"
"translator_helper_bot","Translator Helper Bot","Convert Tim natural language into mission intent and convert technical results back into Tim-readable summary.","When a user request is fuzzy, broad, multi-part, or not yet structured.","Tim prompt; TSF control docs; quick mission; work-order inbox; project passports","Mission intent draft; questions register; summary note","all_fleet; api_bridge; app_wiring; background_runner; canonical_nwr_inspection; canonical_nwr_mutation; command execution; credential_change; deploy; hidden_sort; install_packages; merge; migration; normal_nwr_packet_read; open_network_port; persistent_runner; privatelens; product mutation; product_repo_inspection; product_repo_mutation; proof_run; push; ranking_formula_source_truth_promotion; recommendation_behavior; secrets; treating user prose as approval","Mission intent with goal, allowed scope, excluded scope, stop conditions, and exact questions if needed.","True","False","False","False","False","False","Ambiguous product direction, missing authority, or unclear project identity.","approval_gap; scope_conflict; unsafe_request; validation_failure; repeated_blocker"
"context_memory_steward","Context / Memory Steward","Maintain current project memory, freshness, handoff, and source trace.","Before mission authoring, after preservation, or when context is stale.","project passports; next-session cards; status freshness index; preservation packets; artifact index","Context capsule; freshness note; do-not-rebuild register","all_fleet; api_bridge; app_wiring; background_runner; canonical_nwr_inspection; canonical_nwr_mutation; credential access; credential_change; deploy; hidden_sort; install_packages; merge; migration; normal NWR reads; normal_nwr_packet_read; open_network_port; persistent_runner; privatelens; product repo mutation; product_repo_inspection; product_repo_mutation; proof_run; push; ranking_formula_source_truth_promotion; recommendation_behavior; secrets; source-truth promotion","Freshness-scored context bundle and exclusions.","True","False","True","False","False","False","Access to product/private repos, stale/conflicting source truth, or archived reactivation.","approval_gap; scope_conflict; unsafe_request; validation_failure; repeated_blocker"
"parallel_lane_coordinator","Parallel Lane Coordinator","Coordinate branch/worktree lane isolation and collision detection.","When more than one lane or worker could touch overlapping files.","git status; branch metadata; worktree boundary records; mission allowed writes","Lane split plan; collision matrix; branch/worktree recommendation","all_fleet; all-fleet; api_bridge; app_wiring; background runner; background_runner; canonical_nwr_inspection; canonical_nwr_mutation; creating/deleting worktrees without approval; credential_change; deploy; hidden_sort; install_packages; merge; migration; normal_nwr_packet_read; open_network_port; persistent_runner; privatelens; product_repo_inspection; product_repo_mutation; proof_run; push; ranking_formula_source_truth_promotion; rebase; recommendation_behavior; secrets","Lane plan with ownership, collision result, stop signs, and merge recommendation.","True","True","True","False","False","False","Any actual worktree creation/deletion, merge, push, rebase, or conflicting scope.","approval_gap; scope_conflict; unsafe_request; validation_failure; repeated_blocker"
"organizer_worker","Organizer Worker","Organize files, packets, manifests, checklists, and status surfaces.","When evidence exists but is hard to navigate.","TSF docs; review packets; status files; artifact indexes","TSF-local docs, manifests, indexes, status summaries","all_fleet; api_bridge; app_wiring; background_runner; canonical NWR mutation; canonical_nwr_inspection; canonical_nwr_mutation; credential_change; deploy; hidden_sort; install_packages; merge; migration; normal_nwr_packet_read; open_network_port; persistent_runner; privatelens; product repo mutation; product_repo_inspection; product_repo_mutation; proof_run; push; ranking_formula_source_truth_promotion; recommendation_behavior; secrets","Sorted index, manifest, or checklist with source trace.","True","False","True","False","False","False","Deleting, moving, or overwriting user/canonical work.","approval_gap; scope_conflict; unsafe_request; validation_failure; repeated_blocker"
"builder_worker","Builder Worker","Implement bounded TSF-local infrastructure or docs/control-plane changes.","When a mission has exact allowed writes and validation.","Allowed mission reads only","Allowed mission writes only","all_fleet; api_bridge; app_wiring; background runner; background_runner; canonical_nwr_inspection; canonical_nwr_mutation; credential_change; deploy; hidden_sort; install; install_packages; merge; migration; normal_nwr_packet_read; open_network_port; outside allowed writes; persistent_runner; privatelens; product repo mutation; product_repo_inspection; product_repo_mutation; proof_run; push; ranking_formula_source_truth_promotion; recommendation_behavior; secrets","Changed files plus validation evidence and preservation handoff.","True","False","True","False","False","False","Any scope expansion or restricted action.","approval_gap; scope_conflict; unsafe_request; validation_failure; repeated_blocker"
"ui_builder_worker","UI Builder Worker","Build or adapt TSF UI/prototype surfaces when explicitly scoped.","When the mission is UI/prototype only and no runtime binding is approved.","TSF UI docs/prototypes; allowed assets","Allowed UI/prototype files","all_fleet; api_bridge; app_wiring; auth; background_runner; canonical_nwr_inspection; canonical_nwr_mutation; credential_change; deploy; hidden_sort; install_packages; merge; migration; network ports; normal_nwr_packet_read; open_network_port; persistent_runner; privatelens; product mutation; product_repo_inspection; product_repo_mutation; proof_run; push; ranking_formula_source_truth_promotion; recommendation_behavior; runtime command binding; secrets","Static UI artifact or prototype review packet with no command authority.","True","False","True","False","False","False","Real Operator Console wiring, command execution, remote auth, deploy, or product repo access.","approval_gap; scope_conflict; unsafe_request; validation_failure; repeated_blocker"
"ai_builder_worker","AI Builder Worker","Design or implement AI prompt/adapter/schema components inside TSF scope.","When a bounded mission needs AI routing, prompts, or HQ packet structure.","TSF prompt docs; HQ adapter docs; schemas","Prompt docs; packet schemas; fixture examples","all_fleet; API calls; api_bridge; app_wiring; background_runner; canonical_nwr_inspection; canonical_nwr_mutation; credential creation; credential_change; deploy; hidden_sort; install_packages; merge; migration; model/source-truth promotion; normal_nwr_packet_read; open_network_port; persistent_runner; privatelens; product_repo_inspection; product_repo_mutation; production ranking behavior; proof_run; push; ranking_formula_source_truth_promotion; recommendation_behavior; secrets","Prompt/schema artifact with non-authority and validation notes.","True","False","True","False","False","False","API usage, credentials, model behavior changes, production use.","approval_gap; scope_conflict; unsafe_request; validation_failure; repeated_blocker"
"stats_data_worker","Stats/Data Worker","Create review-only data audits, missingness tables, and validation summaries.","When a mission is data/source trace or formula review-only.","Approved review-only data; TSF/NWR approved packets if scoped","Review-only reports, CSVs, validation artifacts","all_fleet; api_bridge; app_wiring; background_runner; canonical NWR mutation; canonical_nwr_inspection; canonical_nwr_mutation; credential_change; deploy; formula promotion; hidden_sort; install_packages; merge; migration; normal NWR packet reads without approval; normal_nwr_packet_read; open_network_port; persistent_runner; privatelens; product_repo_inspection; product_repo_mutation; production rankings; proof_run; push; ranking_formula_source_truth_promotion; recommendation_behavior; secrets; source truth promotion","Review-only dataset/report with source trace, missingness, caveats, and blocked uses.","True","False","True","False","False","False","Source promotion, production/model use, canonical/normal NWR expansion.","approval_gap; scope_conflict; unsafe_request; validation_failure; repeated_blocker"
"tester_worker","Tester Worker","Run or create bounded tests and validation harness checks.","When a mission has safe local test scope.","Allowed test files; fixtures; changed files","Allowed tests/fixtures/reports","all_fleet; all-fleet; api_bridge; app_wiring; background runner; background_runner; canonical_nwr_inspection; canonical_nwr_mutation; credential_change; deploy; hidden_sort; install; install_packages; merge; migration; normal_nwr_packet_read; open_network_port; persistent_runner; privatelens; product tests without approval; product_repo_inspection; product_repo_mutation; proof runs; proof_run; push; ranking_formula_source_truth_promotion; recommendation_behavior; secrets","Test result report with commands, pass/fail, and failures.","True","False","True","False","False","False","Proof runs, installs, product repo tests, broad fleet tests.","approval_gap; scope_conflict; unsafe_request; validation_failure; repeated_blocker"
