"role_id","role_name","template_path","status"
"project_main_bot","Project Main Bot","fleet\control\worker-mission-templates\v1\project_main_bot.mission-template.json","created"
"translator_helper_bot","Translator Helper Bot","fleet\control\worker-mission-templates\v1\translator_helper_bot.mission-template.json","created"
"context_memory_steward","Context / Memory Steward","fleet\control\worker-mission-templates\v1\context_memory_steward.mission-template.json","created"
"parallel_lane_coordinator","Parallel Lane Coordinator","fleet\control\worker-mission-templates\v1\parallel_lane_coordinator.mission-template.json","created"
"organizer_worker","Organizer Worker","fleet\control\worker-mission-templates\v1\organizer_worker.mission-template.json","created"
"builder_worker","Builder Worker","fleet\control\worker-mission-templates\v1\builder_worker.mission-template.json","created"
"ui_builder_worker","UI Builder Worker","fleet\control\worker-mission-templates\v1\ui_builder_worker.mission-template.json","created"
"ai_builder_worker","AI Builder Worker","fleet\control\worker-mission-templates\v1\ai_builder_worker.mission-template.json","created"
"stats_data_worker","Stats/Data Worker","fleet\control\worker-mission-templates\v1\stats_data_worker.mission-template.json","created"
"tester_worker","Tester Worker","fleet\control\worker-mission-templates\v1\tester_worker.mission-template.json","created"
"auditor_worker","Auditor Worker","fleet\control\worker-mission-templates\v1\auditor_worker.mission-template.json","created"
"export_creator_worker","Export Creator Worker","fleet\control\worker-mission-templates\v1\export_creator_worker.mission-template.json","created"
"researcher_source_tracer_worker","Researcher / Source Tracer Worker","fleet\control\worker-mission-templates\v1\researcher_source_tracer_worker.mission-template.json","created"
"verifier_worker","Verifier Worker","fleet\control\worker-mission-templates\v1\verifier_worker.mission-template.json","created"
"refactor_worker","Refactor Worker","fleet\control\worker-mission-templates\v1\refactor_worker.mission-template.json","created"
"documentation_worker","Documentation Worker","fleet\control\worker-mission-templates\v1\documentation_worker.mission-template.json","created"
"release_preservation_worker","Release / Preservation Worker","fleet\control\worker-mission-templates\v1\release_preservation_worker.mission-template.json","created"
"chatgpt_api_hq_escalation_judge","ChatGPT/API HQ Escalation Judge","fleet\control\worker-mission-templates\v1\chatgpt_api_hq_escalation_judge.mission-template.json","created"
