"requires_chatgpt_hq","requires_tim","requires_verifier","main_bot_can_decide","worker_can_decide","reason","decision_type"
"False","False","True","True","False","Routine role assignment from intent and scope.","worker routing"
"False","False","True","True","False","Allowed only for bounded local recovery.","retry once"
"False","False","True","True","False","Auditor worker can review evidence.","audit needed"
"False","False","True","True","True","Safe local closeout.","preserve and stop"
"False","False","True","True","False","Dry-run planning only.","split safe lane"
"False","False","True","True","False","Worker routing.","ask tester or auditor"
"False","False","True","True","False","Verifier can fail closed.","reject weak worker report"
"False","False","True","True","False","Allowed by autonomy envelope after validation and exact staging.","local docs schema test commit"
"False","True","True","False","False","Publication and release gate.","push merge deploy"
"False","True","True","False","False","Protected product scope.","product repo mutation"
"False","True","True","False","False","Canonical repos protected.","canonical repo mutation"
"True","True","True","False","False","Hard gates and strategic promotion risk.","secrets installs migration background API spending source truth ranking model app wiring"
