"hit","stop_condition","disposition","notes"
"false","branch_containment_failed","not_hit","Branch and starting HEAD matched expected values."
"false","unexpected_dirty_files","not_hit","Starting worktree was clean."
"false","codex_cli_required","not_hit","Codex CLI was not invoked."
"false","api_or_credentials_required","not_hit","No API calls or credentials were used."
"false","background_runner_required","not_hit","No background/persistent runner started."
"false","all_fleet_required","not_hit","No all-fleet commands used."
"false","product_repo_mutation_required","not_hit","No product repos touched."
"false","canonical_nwr_mutation_required","not_hit","Canonical NWR not touched."
"false","push_merge_deploy_install_migration_secrets_privatelens_required","not_hit","No restricted operation used."
"false","conflicting_second_system","not_hit","Foundation adapts existing kernel and mission schema."
"false","tests_failed","not_hit","Focused role-foundation tests passed after adapter classifier repair."
"false","scope_drift_operator_console_api","not_hit","No Operator Console or API transport implementation added."
